Publisher,Category,Title,Sales,Year,Month,Age,Date
대원씨아이,소설,너의 이름은.,270,2017,1,10대,2017-01-01
대원씨아이,만화/라이트노벨,너의 이름은. - Another Side : Earthbound,198,2017,1,10대,2017-01-01
대원씨아이(만화/잡지),만화/라이트노벨,너의 이름은 1,123,2017,1,10대,2017-01-01
예담,시/에세이,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,118,2017,1,10대,2017-01-01
대원씨아이(만화/잡지),만화/라이트노벨,너의 이름은 2,90,2017,1,10대,2017-01-01
알에이치코리아(RHK),시/에세이,도깨비 포토에세이,82,2017,1,10대,2017-01-01
알에이치코리아(RHK),소설,도깨비 1,56,2017,1,10대,2017-01-01
도서출판세계사,사회과학 / 역사,설민석의 조선왕조실록,55,2017,1,10대,2017-01-01
대원씨아이,만화/라이트노벨,초속 5센티미터,48,2017,1,10대,2017-01-01
위즈덤하우스,시/에세이,화랑 포토북,44,2017,1,10대,2017-01-01
대원씨아이,만화/라이트노벨,언어의 정원,40,2017,1,10대,2017-01-01
예담,시/에세이,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,765,2017,1,20대,2017-01-01
대원씨아이,소설,너의 이름은.,616,2017,1,20대,2017-01-01
도서출판세계사,사회과학 / 역사,설민석의 조선왕조실록,553,2017,1,20대,2017-01-01
심플라이프,자기계발,자존감 수업,528,2017,1,20대,2017-01-01
대원씨아이,만화/라이트노벨,너의 이름은. - Another Side : Earthbound,468,2017,1,20대,2017-01-01
로크미디어,자기계발,완벽한 공부법,442,2017,1,20대,2017-01-01
알에이치코리아(RHK),시/에세이,도깨비 포토에세이,337,2017,1,20대,2017-01-01
알에이치코리아(RHK),소설,도깨비 1,277,2017,1,20대,2017-01-01
밝은세상,소설,브루클린의 소녀,283,2017,1,20대,2017-01-01
비즈니스북스,자기계발,그릿 GRIT,256,2017,1,20대,2017-01-01
토네이도,자기계발,5년 후 나에게 : Q&A a day,229,2017,1,20대,2017-01-01
민음사,소설,노르웨이의 숲 30주년 기념 한정판,213,2017,1,20대,2017-01-01
대원씨아이(만화/잡지),만화/라이트노벨,너의 이름은 1,199,2017,1,20대,2017-01-01
예담,시/에세이,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라 +플러스,172,2017,1,20대,2017-01-01
현대문학,소설,나미야 잡화점의 기적,166,2017,1,20대,2017-01-01
21세기북스(북이십일),자기계발,혼자 잘해주고 상처받지 마라,187,2017,1,20대,2017-01-01
