시도명,시군구명,성별,연령대,인구수
서울특별시,강남구,남자,0-9세,17416
서울특별시,강남구,남자,10대,32807
서울특별시,강남구,남자,20대,31850
서울특별시,강남구,남자,30대,37889
서울특별시,강남구,남자,40대,46209
서울특별시,강남구,남자,50대,43716
서울특별시,강남구,남자,60대이상,55920
서울특별시,강남구,여자,0-9세,16392
서울특별시,강남구,여자,10대,30033
서울특별시,강남구,여자,20대,35870
서울특별시,강남구,여자,30대,42909
서울특별시,강남구,여자,40대,54674
서울특별시,강남구,여자,50대,43730
서울특별시,강남구,여자,60대이상,66517
서울특별시,강동구,남자,0-9세,15796
서울특별시,강동구,남자,10대,20857
서울특별시,강동구,남자,20대,26876
서울특별시,강동구,남자,30대,34110
서울특별시,강동구,남자,40대,37267
서울특별시,강동구,남자,50대,34945
서울특별시,강동구,남자,60대이상,55805
서울특별시,강동구,여자,0-9세,14800
서울특별시,강동구,여자,10대,18600
서울특별시,강동구,여자,20대,29111
서울특별시,강동구,여자,30대,34972
서울특별시,강동구,여자,40대,37479
서울특별시,강동구,여자,50대,36131
서울특별시,강동구,여자,60대이상,65470
서울특별시,강북구,남자,0-9세,5650
서울특별시,강북구,남자,10대,9544
서울특별시,강북구,남자,20대,17650
서울특별시,강북구,남자,30대,18241
서울특별시,강북구,남자,40대,20107
서울특별시,강북구,남자,50대,24756
서울특별시,강북구,남자,60대이상,42073
서울특별시,강북구,여자,0-9세,5366
서울특별시,강북구,여자,10대,9303
서울특별시,강북구,여자,20대,19554
서울특별시,강북구,여자,30대,16392
서울특별시,강북구,여자,40대,18719
서울특별시,강북구,여자,50대,25302
서울특별시,강북구,여자,60대이상,52875
서울특별시,강서구,남자,0-9세,15299
서울특별시,강서구,남자,10대,21198
서울특별시,강서구,남자,20대,35129
서울특별시,강서구,남자,30대,47894
서울특별시,강서구,남자,40대,42739
서울특별시,강서구,남자,50대,40521
서울특별시,강서구,남자,60대이상,65500
서울특별시,강서구,여자,0-9세,14719
서울특별시,강서구,여자,10대,20163
서울특별시,강서구,여자,20대,42699
서울특별시,강서구,여자,30대,48145
서울특별시,강서구,여자,40대,42427
서울특별시,강서구,여자,50대,42703
서울특별시,강서구,여자,60대이상,80961
서울특별시,관악구,남자,0-9세,8176
