행정구역,연도,월,성별,연령대,인구수
전국,2024,1,전체,전체,47769183
전국,2024,1,전체,10대,4641317
전국,2024,1,전체,20대,6157572
전국,2024,1,전체,30대,6539251
전국,2024,1,전체,40대,7858190
전국,2024,1,전체,50대,8647623
전국,2024,1,전체,60대 이상,13925230
전국,2024,1,남,전체,23731033
전국,2024,1,남,10대,2387873
전국,2024,1,남,20대,3214660
전국,2024,1,남,30대,3401321
전국,2024,1,남,40대,3990850
전국,2024,1,남,50대,4355915
전국,2024,1,남,60대 이상,6380414
전국,2024,1,여,전체,24038150
전국,2024,1,여,10대,2253444
전국,2024,1,여,20대,2942912
전국,2024,1,여,30대,3137930
전국,2024,1,여,40대,3867340
전국,2024,1,여,50대,4291708
전국,2024,1,여,60대 이상,7544816
전국,2024,2,전체,전체,47777097
전국,2024,2,전체,10대,4637840
전국,2024,2,전체,20대,6132110
전국,2024,2,전체,30대,6521286
전국,2024,2,전체,40대,7857191
전국,2024,2,전체,50대,8656279
전국,2024,2,전체,60대 이상,13972391
전국,2024,2,남,전체,23734867
전국,2024,2,남,10대,2385899
전국,2024,2,남,20대,3200343
전국,2024,2,남,30대,3393419
전국,2024,2,남,40대,3991691
전국,2024,2,남,50대,4359590
전국,2024,2,남,60대 이상,6403925
전국,2024,2,여,전체,24042230
전국,2024,2,여,10대,2251941
전국,2024,2,여,20대,2931767
전국,2024,2,여,30대,3127867
전국,2024,2,여,40대,3865500
전국,2024,2,여,50대,4296689
전국,2024,2,여,60대 이상,7568466
전국,2024,3,전체,전체,47787106
전국,2024,3,전체,10대,4631266
전국,2024,3,전체,20대,6114398
전국,2024,3,전체,30대,6534610
전국,2024,3,전체,40대,7827625
전국,2024,3,전체,50대,8653376
전국,2024,3,전체,60대 이상,14025831
전국,2024,3,남,전체,23739456
전국,2024,3,남,10대,2382365
전국,2024,3,남,20대,3190615
전국,2024,3,남,30대,3401390
전국,2024,3,남,40대,3977107
전국,2024,3,남,50대,4358234
전국,2024,3,남,60대 이상,6429745
전국,2024,3,여,전체,24047650
전국,2024,3,여,10대,2248901
전국,2024,3,여,20대,2923783
전국,2024,3,여,30대,3133220
전국,2024,3,여,40대,3850518
전국,2024,3,여,50대,4295142
전국,2024,3,여,60대 이상,7596086
전국,2024,4,전체,전체,47796172
전국,2024,4,전체,10대,4628620
전국,2024,4,전체,20대,6094918
전국,2024,4,전체,30대,6546276
전국,2024,4,전체,40대,7797986
전국,2024,4,전체,50대,8662269
전국,2024,4,전체,60대 이상,14066103
전국,2024,4,남,전체,23743590
전국,2024,4,남,10대,2380836
전국,2024,4,남,20대,3179701
전국,2024,4,남,30대,3408489
전국,2024,4,남,40대,3961756
전국,2024,4,남,50대,4363213
전국,2024,4,남,60대 이상,6449595
전국,2024,4,여,전체,24052582
전국,2024,4,여,10대,2247784
전국,2024,4,여,20대,2915217
전국,2024,4,여,30대,3137787
전국,2024,4,여,40대,3836230
전국,2024,4,여,50대,4299056
전국,2024,4,여,60대 이상,7616508
전국,2024,5,전체,전체,47803724
전국,2024,5,전체,10대,4626249
전국,2024,5,전체,20대,6074874
전국,2024,5,전체,30대,6557541
전국,2024,5,전체,40대,7777875
전국,2024,5,전체,50대,8662367
전국,2024,5,전체,60대 이상,14104818
전국,2024,5,남,전체,23746541
전국,2024,5,남,10대,2379304
전국,2024,5,남,20대,3168389
전국,2024,5,남,30대,3415167
전국,2024,5,남,40대,3951482
전국,2024,5,남,50대,4363589
전국,2024,5,남,60대 이상,6468610
전국,2024,5,여,전체,24057183
전국,2024,5,여,10대,2246945
전국,2024,5,여,20대,2906485
전국,2024,5,여,30대,3142374
전국,2024,5,여,40대,3826393
전국,2024,5,여,50대,4298778
전국,2024,5,여,60대 이상,7636208
전국,2024,6,전체,전체,47813908
전국,2024,6,전체,10대,4625065
전국,2024,6,전체,20대,6056745
전국,2024,6,전체,30대,6565708
전국,2024,6,전체,40대,7762386
전국,2024,6,전체,50대,8666398
전국,2024,6,전체,60대 이상,14137606
전국,2024,6,남,전체,23751049
전국,2024,6,남,10대,2378612
전국,2024,6,남,20대,3158090
전국,2024,6,남,30대,3420069
전국,2024,6,남,40대,3943255
전국,2024,6,남,50대,4366100
전국,2024,6,남,60대 이상,6484923
전국,2024,6,여,전체,24062859
전국,2024,6,여,10대,2246453
전국,2024,6,여,20대,2898655
전국,2024,6,여,30대,3145639
전국,2024,6,여,40대,3819131
