Year,Month,Category,Title,Author,Publisher,Price,Publish_Date,Sales_Index,Rating,Age_Scores,Pages,Keywords,Gender,Age,month
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",288,"['#엄마가된다는것', '#엄마는처음이라', '#초보엄마', '#자녀교육']",1,10,6
2024,1,가정과 살림,성심당 케이크 레시피,안종섭 저,비앤씨월드,18000,2024년 05월,3060,9.1,{},228,"['#레시피', '#맛집레시피', '#디저트레시피북', '#베이킹', '#홈베이킹']",1,10,6
2024,1,가정과 살림,조이 오브 쿠킹,"이르마 S. 롬바우어, 존 베커, 메건 스콧 저/구계원 역",세미콜론,69300,2024년 02월,2076,9.8,{},"1,280","['#도시락레시피', '#반찬고민', '#간편요리', '#자취요리', '#집반찬']",1,10,6
2024,1,가정과 살림,10분 완성 초간단 도시락 레시피 100,오민주 저,시원북스,16020,2024년 02월,7914,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",260,"['#크레마클럽에있어요', '#새해결심', '#집밥레시피', '#자취요리', '#싸고재밌고맛있게']",1,10,6
2024,1,가정과 살림,뿐이 토핑 이유식,정주희 저/이수진 감수,서사원,26820,2024년 03월,89208,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 10.0, '50대': 0.0}",640,"['#국민육아템', '#초보엄마', '#간편이유식']",1,20,6
2024,1,가정과 살림,시니맘의 참 잘 먹는 10분 유아식,시니맘 저,서사원,16920,2024년 07월,14940,10,{},232,"['#얼리리더', '#완밥레시피', '#육아노하우', '#간편이유식']",1,20,6
2024,1,가정과 살림,임신 출산 육아 대백과 최신개정판,편집부 저,삼성출판사,17550,2023년 08월,106542,9.3,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 7.0, '50대': 10.0}",432,"['#국민육아템', '#친구선물', '#결혼선물추천', '#스테디에는이유가있다']",1,20,6
2024,1,가정과 살림,홀썸의 집밥 예찬,홀썸모먼트 저,다산라이프,22500,2024년 05월,63837,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",336,"['#웰니스', '#건강한식사', '#건강식', '#집밥레시피', '#간편요리']",1,20,6
2024,1,가정과 살림,백종원이 추천하는 집밥 메뉴 애장판,백종원 저,서울문화사,28800,2020년 08월,25287,9.6,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",576,"['#백선생', '#집밥레시피', '#메뉴가고민될때', '#셰프의레시피', '#오늘의한끼']",1,20,6
2024,1,가정과 살림,디디미니의 맛있어서 평생 습관 되는 다이어트 레시피,미니 박지우 저,빅피시,19800,2024년 06월,16326,10,{},228,"['#얼리리더', '#유튜버의책', '#다이어트', '#다이어트식단', '#올해는다이어트성공할래']",1,20,6
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",288,"['#엄마가된다는것', '#엄마는처음이라', '#초보엄마', '#자녀교육']",1,20,6
2024,1,가정과 살림,우리동네 어린이병원 육아대백과,"손수예, 박소영 저",청림Life,24300,2024년 03월,29742,10,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",488,"['#육아노하우', '#아이를키운다면한번쯤', '#육아백과사전']",1,20,6
2024,1,가정과 살림,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,15750,2023년 12월,159582,9.4,"{'10대': 0.0, '20대': 8.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",256,"['#부모는처음이라', '#부모와아이가행복한육아', '#부모가된다는것', '#자녀교육']",1,20,6
2024,1,가정과 살림,서윤맘의 밥태기 없는 아이주도 유아식,서윤맘(정윤지) 저,21세기북스,25200,2024년 01월,20046,10,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",368,"['#채소싫어하는아이', '#아이입맛저격', '#맘마먹자', '#간편이유식']",1,20,6
2024,1,가정과 살림,김대석 셰프의 집밥 레시피,김대석 저,경향비피,16200,2023년 04월,26460,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",203,['#크레마클럽에있어요'],1,20,6
2024,1,가정과 살림,다이어트 불변의 법칙,"하비 다이아몬드 저/강신원, 김민숙 역",사이몬북스,16200,2021년 09월,14424,9.6,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 8.0}",320,"['#내맘대로올해의책', '#올해의책', '#일생의기술', '#대화가필요해', '#자녀와의대화']",1,20,6
2024,1,가정과 살림,어떻게 말해줘야 할까,오은영 저/차상미 그림,김영사,15750,2020년 10월,46074,9.7,"{'10대': 0.0, '20대': 9.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",400,"['#두뇌발달', '#아이랑뭐하고놀지?', '#예술놀이']",1,20,6
2024,1,가정과 살림,세상에서 제일 재밌는 종이접기,이원표 저,슬로래빗,12600,2018년 08월,55971,9.4,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",252,"['#집밥레시피', '#반찬고민']",1,20,6
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,"{'10대': 0.0, '20대': 8.0, '30대': 10.0, '40대': 8.0, '50대': 10.0}",260,"['#육아백과사전', '#아이를키운다면한번쯤', '#자녀교육']",1,20,6
2024,1,가정과 살림,삐뽀삐뽀 119 소아과,하정훈 저,유니책방,26820,2016년 07월,55998,9.7,"{'10대': 0.0, '20대': 2.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}","1,120","['#맛집레시피', '#디저트레시피북', '#베이킹', '#핫플레이스']",1,20,6
2024,1,가정과 살림,달콤한 스누피 쿠킹,찰스 M. 슐츠 글그림/박혜원 역,더모던,15120,2024년 05월,60,10,{},128,"['#얼리리더', '#자녀와의대화', '#부모교육', '#부모가된다는것']",1,20,6
2024,1,가정과 살림,맛있는 스누피 쿠킹,찰스 M. 슐츠 글그림/박혜원 역,더모던,15120,2024년 05월,60,10,{},128,"['#도시락레시피', '#유튜브인기레시피', '#간단한레시피', '#도시락을싸보자']",1,20,6
2024,1,가정과 살림,단이네 순한맛 유아식,정신혜 저,아퍼블리싱,19350,2024년 07월,2370,10,{},420,"['#현실육아', '#습관만들기', '#좋은습관']",1,20,6
2024,1,가정과 살림,찐아빠의 육아 세계,전현승 저,리플레이,14220,2024년 06월,966,9.9,{},240,"['#홈베이킹', '#베이킹', '#디저트레시피북', '#맛집레시피', '#레시피']",1,20,6
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",288,"['#엄마가된다는것', '#엄마는처음이라', '#초보엄마', '#자녀교육']",1,30,6
2024,1,가정과 살림,시니맘의 참 잘 먹는 10분 유아식,시니맘 저,서사원,16920,2024년 07월,14940,10,{},232,"['#얼리리더', '#완밥레시피', '#육아노하우', '#간편이유식']",1,30,6
2024,1,가정과 살림,뿐이 토핑 이유식,정주희 저/이수진 감수,서사원,26820,2024년 03월,89208,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 10.0, '50대': 0.0}",640,"['#국민육아템', '#초보엄마', '#간편이유식']",1,30,6
2024,1,가정과 살림,라키비움J 블루,"전은주, 표유진, 오현수, 이미리, 이시내 저 외 3명 정보 더 보기/감추기",제이포럼,17100,2024년 07월,4200,10,{},224,"['#내손에잡지', '#참여형그림책', '#그림책읽는어른들에게', '#그림책으로하는수업']",1,30,6
2024,1,가정과 살림,국어 잘하는 아이가 이깁니다,나민애 저,김영사,15750,2024년 03월,151218,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",276,"['#얼리리더', '#공부법', '#효과적인공부법', '#초등부터고등까지', '#국어공부']",1,30,6
2024,1,가정과 살림,부모의 어휘력,김종원 저,카시오페아,17100,2024년 06월,40947,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 0.0}",312,"['#얼리리더', '#자녀와의대화', '#부모교육', '#부모가된다는것']",1,30,6
2024,1,가정과 살림,임신 출산 육아 대백과 최신개정판,편집부 저,삼성출판사,17550,2023년 08월,106542,9.3,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 7.0, '50대': 10.0}",432,"['#국민육아템', '#친구선물', '#결혼선물추천', '#스테디에는이유가있다']",1,30,6
2024,1,가정과 살림,삐뽀삐뽀 119 이유식,하정훈 저,유니책방,17010,2017년 12월,96120,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 10.0, '50대': 0.0}",376,"['#간편이유식', '#맘마먹자']",1,30,6
2024,1,가정과 살림,홀썸의 집밥 예찬,홀썸모먼트 저,다산라이프,22500,2024년 05월,63837,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",336,"['#웰니스', '#건강한식사', '#건강식', '#집밥레시피', '#간편요리']",1,30,6
2024,1,가정과 살림,최민준의 아들코칭 백과,최민준 저,위즈덤하우스,16920,2023년 08월,171735,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 0.0}",376,"['#육아고수노하우', '#자녀교육', '#아들키우기']",1,30,6
2024,1,가정과 살림,삐뽀삐뽀 119 소아과,하정훈 저,유니책방,26820,2016년 07월,55998,9.7,"{'10대': 0.0, '20대': 2.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}","1,120","['#육아백과사전', '#아이를키운다면한번쯤', '#자녀교육']",1,30,6
2024,1,가정과 살림,상위 1%의 비밀은 공부정서에 있습니다,정우열 저,저녁달,16020,2024년 06월,18822,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 10.0}",256,['#이달의굿즈'],1,30,6
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,"{'10대': 0.0, '20대': 8.0, '30대': 10.0, '40대': 8.0, '50대': 10.0}",260,"['#집밥레시피', '#반찬고민']",1,30,6
2024,1,가정과 살림,스스로 해내는 아이의 비밀,김보경 저,제이포럼,16650,2024년 06월,24369,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",320,"['#현실육아', '#습관만들기', '#좋은습관']",1,30,6
2024,1,가정과 살림,우리동네 어린이병원 육아대백과,"손수예, 박소영 저",청림Life,24300,2024년 03월,29742,10,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",488,"['#육아노하우', '#아이를키운다면한번쯤', '#육아백과사전']",1,30,6
2024,1,가정과 살림,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,15750,2023년 12월,159582,9.4,"{'10대': 0.0, '20대': 8.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",256,"['#부모는처음이라', '#부모와아이가행복한육아', '#부모가된다는것', '#자녀교육']",1,30,6
2024,1,가정과 살림,이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,16920,2022년 10월,175182,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",384,"['#독서교육', '#초등읽기', '#문해력', '#초등어휘', '#어휘력']",1,30,6
2024,1,가정과 살림,4~7세 보고 만지는 수학은 이렇게 가르칩니다,최경희 저,블루무스,22500,2024년 04월,59973,9.7,"{'10대': 0.0, '20대': 0.0, '30대': 8.0, '40대': 10.0, '50대': 0.0}",360,"['#이달의굿즈', '#홈스쿨링', '#엄마표학습', '#처음시작하는수학', '#유아수학']",1,30,6
2024,1,가정과 살림,똑게육아,로리(김준희) 저,북로스트,19980,2022년 02월,53658,9.7,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 0.0}",524,"['#아이재우기', '#수면건강', '#육아노하우']",1,30,6
2024,1,가정과 살림,어린이를 위한 초등 매일 글쓰기의 힘 : 세줄쓰기,이은경 저,상상아카데미,9000,2022년 07월,56292,9.5,"{'10대': 10.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",136,['#초등글쓰기'],1,30,6
2024,1,가정과 살림,한 달에 10만원 도시락 만들기,이슬비 저,길벗,16920,2024년 06월,18552,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 10.0}",244,"['#도시락레시피', '#유튜브인기레시피', '#간단한레시피', '#도시락을싸보자']",1,30,6
2024,1,가정과 살림,영혼이 강한 아이로 키워라,조선미 저,북하우스,15750,2023년 10월,50733,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",292,"['#자녀교육', '#부모교육', '#부모는처음이라', '#부모와아이가행복한육아']",1,30,6
2024,1,가정과 살림,아이주도 이유식 유아식 매뉴얼 세트,BLW 연구소 저,아퍼블리싱,21150,2021년 08월,18246,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",484,"['#맘마먹자', '#요리초보', '#초보맘', '#간편이유식']",1,30,6
2024,1,가정과 살림,디디미니의 맛있어서 평생 습관 되는 다이어트 레시피,미니 박지우 저,빅피시,19800,2024년 06월,16326,10,{},228,"['#얼리리더', '#유튜버의책', '#다이어트', '#다이어트식단', '#올해는다이어트성공할래']",1,30,6
2024,1,가정과 살림,요즘 초등생을 위한 최소한의 고전수업,김민아 저,청림Life,16200,2024년 06월,10938,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 9.0}",280,['#독서지도안'],1,30,6
2024,1,가정과 살림,66일 자존감 대화법,김종원 저,카시오페아,16200,2023년 10월,46203,10,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 10.0, '50대': 0.0}",320,"['#부모는처음이라', '#부모와아이가행복한육아', '#부모가된다는것']",1,30,6
2024,1,가정과 살림,김대석 셰프의 집밥 레시피 2,김대석 저,경향비피,16200,2024년 07월,10956,10,{},213,"['#이달의굿즈', '#셰프의레시피', '#유튜버의책', '#유튜브인기레시피', '#집밥레시피']",1,30,6
2024,1,가정과 살림,그림육아의 힘,김선현 저,쌤앤파커스,16650,2024년 06월,9054,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 10.0}",288,['#이달의굿즈'],1,30,6
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",288,"['#엄마가된다는것', '#엄마는처음이라', '#초보엄마', '#자녀교육']",1,40,6
2024,1,가정과 살림,국어 잘하는 아이가 이깁니다,나민애 저,김영사,15750,2024년 03월,151218,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",276,"['#얼리리더', '#공부법', '#효과적인공부법', '#초등부터고등까지', '#국어공부']",1,40,6
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,"{'10대': 0.0, '20대': 8.0, '30대': 10.0, '40대': 8.0, '50대': 10.0}",260,"['#집밥레시피', '#반찬고민']",1,40,6
2024,1,가정과 살림,부모의 어휘력,김종원 저,카시오페아,17100,2024년 06월,40947,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 0.0}",312,"['#얼리리더', '#자녀와의대화', '#부모교육', '#부모가된다는것']",1,40,6
2024,1,가정과 살림,라키비움J 블루,"전은주, 표유진, 오현수, 이미리, 이시내 저 외 3명 정보 더 보기/감추기",제이포럼,17100,2024년 07월,4200,10,{},224,"['#내손에잡지', '#참여형그림책', '#그림책읽는어른들에게', '#그림책으로하는수업']",1,40,6
2024,1,가정과 살림,스스로 해내는 아이의 비밀,김보경 저,제이포럼,16650,2024년 06월,24369,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",320,"['#현실육아', '#습관만들기', '#좋은습관']",1,40,6
2024,1,가정과 살림,상위 1%의 비밀은 공부정서에 있습니다,정우열 저,저녁달,16020,2024년 06월,18822,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 10.0}",256,['#이달의굿즈'],1,40,6
2024,1,가정과 살림,홀썸의 집밥 예찬,홀썸모먼트 저,다산라이프,22500,2024년 05월,63837,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",336,"['#웰니스', '#건강한식사', '#건강식', '#집밥레시피', '#간편요리']",1,40,6
